alert_id,clinic_id,alert_type,reference_id,severity,trigger_metric,triggered_date,is_resolved
AL0001,CL0021,Disease_Spike,DIS001,Medium,Cases increased 376% in 48 hours,2023-07-19,True
AL0002,CL0045,Low_Stock,DRG052,Critical,Current stock 50 < Buffer 136,2021-08-15,True
AL0003,CL0002,Outbreak_Warning,DIS036,Critical,Geospatial cluster detected: 36 cases within 5km radius,2024-01-09,True
AL0004,CL0050,Disease_Spike,DIS021,Medium,Cases increased 401% in 24 hours,2025-08-26,True
AL0005,CL0027,Disease_Spike,DIS050,Critical,Cases increased 170% in 72 hours,2025-02-23,True
AL0006,CL0046,Outbreak_Warning,DIS004,High,Geospatial cluster detected: 29 cases within 5km radius,2024-06-27,True
AL0007,CL0016,Outbreak_Warning,DIS020,Medium,Geospatial cluster detected: 22 cases within 5km radius,2022-01-15,True
AL0008,CL0002,Low_Stock,DRG047,Critical,Current stock 30 < Buffer 145,2024-06-03,False
AL0009,CL0041,Low_Stock,DRG094,Medium,Current stock 35 < Buffer 96,2022-06-08,True
AL0010,CL0049,Low_Stock,DRG061,Medium,Current stock 34 < Buffer 119,2022-06-11,True
AL0011,CL0025,Disease_Spike,DIS019,Critical,Cases increased 320% in 72 hours,2021-05-24,True
AL0012,CL0048,Outbreak_Warning,DIS023,Critical,Geospatial cluster detected: 17 cases within 5km radius,2023-09-13,True
AL0013,CL0027,Low_Stock,DRG014,Medium,Current stock 29 < Buffer 80,2025-05-21,True
AL0014,CL0032,Outbreak_Warning,DIS044,High,Geospatial cluster detected: 45 cases within 5km radius,2025-01-25,True
AL0015,CL0018,Outbreak_Warning,DIS021,Medium,Geospatial cluster detected: 14 cases within 5km radius,2022-07-07,True
AL0016,CL0042,Outbreak_Warning,DIS038,High,Geospatial cluster detected: 11 cases within 5km radius,2025-07-12,True
AL0017,CL0036,Disease_Spike,DIS014,Critical,Cases increased 179% in 48 hours,2022-02-13,True
AL0018,CL0028,Low_Stock,DRG093,Critical,Current stock 14 < Buffer 100,2022-07-15,True
AL0019,CL0038,Disease_Spike,DIS032,High,Cases increased 439% in 72 hours,2021-06-08,True
AL0020,CL0009,Outbreak_Warning,DIS003,Medium,Geospatial cluster detected: 19 cases within 5km radius,2024-12-03,False
AL0021,CL0034,Disease_Spike,DIS033,High,Cases increased 181% in 72 hours,2025-06-01,True
AL0022,CL0047,Low_Stock,DRG038,High,Current stock 35 < Buffer 110,2025-01-06,True
AL0023,CL0004,Disease_Spike,DIS009,High,Cases increased 500% in 72 hours,2023-01-22,True
AL0024,CL0030,Low_Stock,DRG022,Medium,Current stock 11 < Buffer 67,2024-06-10,False
AL0025,CL0028,Outbreak_Warning,DIS019,Critical,Geospatial cluster detected: 46 cases within 5km radius,2024-01-16,True
AL0026,CL0007,Outbreak_Warning,DIS010,High,Geospatial cluster detected: 18 cases within 5km radius,2025-02-12,True
AL0027,CL0003,Disease_Spike,DIS008,Critical,Cases increased 223% in 48 hours,2022-05-04,True
AL0028,CL0034,Low_Stock,DRG053,Medium,Current stock 30 < Buffer 110,2024-07-18,True
AL0029,CL0002,Outbreak_Warning,DIS039,Medium,Geospatial cluster detected: 40 cases within 5km radius,2025-10-01,True
AL0030,CL0041,Low_Stock,DRG068,Critical,Current stock 27 < Buffer 82,2023-07-07,True
AL0031,CL0018,Low_Stock,DRG017,Critical,Current stock 11 < Buffer 123,2024-02-26,True
AL0032,CL0017,Outbreak_Warning,DIS025,Critical,Geospatial cluster detected: 40 cases within 5km radius,2025-03-07,True
AL0033,CL0022,Disease_Spike,DIS033,Medium,Cases increased 255% in 72 hours,2023-06-16,True
AL0034,CL0037,Outbreak_Warning,DIS044,Critical,Geospatial cluster detected: 31 cases within 5km radius,2024-07-11,True
AL0035,CL0017,Outbreak_Warning,DIS022,Critical,Geospatial cluster detected: 26 cases within 5km radius,2025-07-09,True
AL0036,CL0026,Low_Stock,DRG040,Critical,Current stock 24 < Buffer 98,2022-04-02,True
AL0037,CL0016,Outbreak_Warning,DIS041,Medium,Geospatial cluster detected: 16 cases within 5km radius,2022-01-15,True
AL0038,CL0026,Low_Stock,DRG010,Critical,Current stock 22 < Buffer 70,2025-02-19,True
AL0039,CL0038,Disease_Spike,DIS009,Critical,Cases increased 176% in 24 hours,2021-06-09,True
AL0040,CL0017,Low_Stock,DRG036,Critical,Current stock 45 < Buffer 120,2022-07-26,True
AL0041,CL0002,Outbreak_Warning,DIS026,Medium,Geospatial cluster detected: 23 cases within 5km radius,2025-04-16,True
AL0042,CL0011,Disease_Spike,DIS048,Medium,Cases increased 500% in 48 hours,2025-07-28,True
AL0043,CL0042,Disease_Spike,DIS016,High,Cases increased 349% in 24 hours,2022-08-23,True
AL0044,CL0019,Outbreak_Warning,DIS037,High,Geospatial cluster detected: 23 cases within 5km radius,2023-08-08,True
AL0045,CL0020,Low_Stock,DRG085,High,Current stock 46 < Buffer 108,2022-06-22,True
AL0046,CL0009,Outbreak_Warning,DIS018,High,Geospatial cluster detected: 32 cases within 5km radius,2024-07-24,True
AL0047,CL0034,Low_Stock,DRG030,Critical,Current stock 14 < Buffer 101,2022-02-27,True
AL0048,CL0018,Outbreak_Warning,DIS035,Medium,Geospatial cluster detected: 49 cases within 5km radius,2023-02-09,True
AL0049,CL0023,Low_Stock,DRG090,High,Current stock 45 < Buffer 115,2025-02-26,True
AL0050,CL0026,Low_Stock,DRG029,High,Current stock 5 < Buffer 110,2022-11-26,True
AL0051,CL0018,Outbreak_Warning,DIS039,High,Geospatial cluster detected: 12 cases within 5km radius,2022-01-19,True
AL0052,CL0028,Disease_Spike,DIS048,Critical,Cases increased 314% in 24 hours,2024-01-12,True
AL0053,CL0036,Outbreak_Warning,DIS039,Medium,Geospatial cluster detected: 19 cases within 5km radius,2024-02-17,True
AL0054,CL0039,Outbreak_Warning,DIS041,Critical,Geospatial cluster detected: 29 cases within 5km radius,2025-02-12,True
AL0055,CL0007,Disease_Spike,DIS021,High,Cases increased 293% in 24 hours,2021-11-28,True
AL0056,CL0009,Outbreak_Warning,DIS012,High,Geospatial cluster detected: 23 cases within 5km radius,2021-08-01,True
AL0057,CL0046,Disease_Spike,DIS011,High,Cases increased 460% in 48 hours,2024-01-11,True
AL0058,CL0048,Outbreak_Warning,DIS050,Critical,Geospatial cluster detected: 49 cases within 5km radius,2024-07-08,True
AL0059,CL0029,Low_Stock,DRG078,Medium,Current stock 9 < Buffer 142,2025-07-12,True
AL0060,CL0004,Disease_Spike,DIS014,Critical,Cases increased 178% in 48 hours,2023-07-03,True
AL0061,CL0001,Low_Stock,DRG004,Medium,Current stock 39 < Buffer 134,2021-08-08,True
AL0062,CL0007,Disease_Spike,DIS014,Critical,Cases increased 444% in 72 hours,2025-12-17,True
AL0063,CL0030,Outbreak_Warning,DIS004,High,Geospatial cluster detected: 43 cases within 5km radius,2025-01-08,True
AL0064,CL0005,Low_Stock,DRG002,Medium,Current stock 24 < Buffer 120,2021-07-06,False
AL0065,CL0022,Disease_Spike,DIS048,Critical,Cases increased 420% in 72 hours,2022-07-03,True
AL0066,CL0048,Outbreak_Warning,DIS006,Medium,Geospatial cluster detected: 29 cases within 5km radius,2022-08-07,False
AL0067,CL0019,Low_Stock,DRG097,Critical,Current stock 32 < Buffer 107,2024-07-28,False
AL0068,CL0026,Outbreak_Warning,DIS017,High,Geospatial cluster detected: 28 cases within 5km radius,2022-05-24,True
AL0069,CL0015,Low_Stock,DRG043,High,Current stock 7 < Buffer 98,2023-06-08,True
AL0070,CL0048,Low_Stock,DRG071,Medium,Current stock 40 < Buffer 80,2021-02-19,True
AL0071,CL0035,Outbreak_Warning,DIS018,Medium,Geospatial cluster detected: 48 cases within 5km radius,2023-01-19,True
AL0072,CL0037,Disease_Spike,DIS035,Critical,Cases increased 286% in 24 hours,2022-07-26,True
AL0073,CL0032,Disease_Spike,DIS032,High,Cases increased 185% in 48 hours,2024-01-20,True
AL0074,CL0029,Outbreak_Warning,DIS038,High,Geospatial cluster detected: 44 cases within 5km radius,2022-12-22,True
AL0075,CL0032,Low_Stock,DRG086,Critical,Current stock 43 < Buffer 97,2022-08-04,True
AL0076,CL0025,Disease_Spike,DIS004,High,Cases increased 333% in 24 hours,2021-02-22,False
AL0077,CL0037,Disease_Spike,DIS029,Medium,Cases increased 179% in 48 hours,2021-04-18,True
AL0078,CL0034,Outbreak_Warning,DIS006,High,Geospatial cluster detected: 19 cases within 5km radius,2022-02-27,True
AL0079,CL0028,Disease_Spike,DIS012,Critical,Cases increased 374% in 72 hours,2022-07-28,True
AL0080,CL0011,Outbreak_Warning,DIS037,Medium,Geospatial cluster detected: 40 cases within 5km radius,2023-06-09,True
AL0081,CL0043,Disease_Spike,DIS039,Medium,Cases increased 351% in 48 hours,2025-07-07,True
AL0082,CL0030,Outbreak_Warning,DIS049,High,Geospatial cluster detected: 36 cases within 5km radius,2023-08-12,True
AL0083,CL0042,Disease_Spike,DIS039,High,Cases increased 367% in 48 hours,2023-01-16,True
AL0084,CL0048,Low_Stock,DRG075,Critical,Current stock 15 < Buffer 110,2024-04-13,True
AL0085,CL0011,Disease_Spike,DIS040,Medium,Cases increased 330% in 48 hours,2021-02-19,True
AL0086,CL0013,Outbreak_Warning,DIS041,Critical,Geospatial cluster detected: 19 cases within 5km radius,2024-02-07,True
AL0087,CL0020,Disease_Spike,DIS026,High,Cases increased 371% in 24 hours,2024-01-17,True
AL0088,CL0036,Outbreak_Warning,DIS028,Medium,Geospatial cluster detected: 40 cases within 5km radius,2021-06-24,True
AL0089,CL0024,Low_Stock,DRG019,Critical,Current stock 17 < Buffer 100,2021-02-02,True
AL0090,CL0045,Low_Stock,DRG063,Critical,Current stock 37 < Buffer 107,2022-02-14,True
AL0091,CL0030,Low_Stock,DRG059,Medium,Current stock 9 < Buffer 144,2024-02-02,True
AL0092,CL0019,Disease_Spike,DIS001,High,Cases increased 257% in 48 hours,2024-08-07,True
AL0093,CL0005,Disease_Spike,DIS041,Critical,Cases increased 473% in 48 hours,2023-07-02,False
AL0094,CL0018,Low_Stock,DRG057,Medium,Current stock 25 < Buffer 101,2023-02-23,True
AL0095,CL0019,Low_Stock,DRG096,Medium,Current stock 19 < Buffer 129,2024-08-04,True
AL0096,CL0046,Outbreak_Warning,DIS022,High,Geospatial cluster detected: 39 cases within 5km radius,2023-07-02,True
AL0097,CL0031,Outbreak_Warning,DIS016,High,Geospatial cluster detected: 20 cases within 5km radius,2024-11-04,True
AL0098,CL0044,Disease_Spike,DIS009,Medium,Cases increased 500% in 48 hours,2022-08-08,True
AL0099,CL0030,Low_Stock,DRG032,Medium,Current stock 42 < Buffer 66,2025-01-02,True
AL0100,CL0025,Outbreak_Warning,DIS049,High,Geospatial cluster detected: 42 cases within 5km radius,2022-08-04,True
AL0101,CL0015,Outbreak_Warning,DIS049,High,Geospatial cluster detected: 33 cases within 5km radius,2022-04-12,True
AL0102,CL0050,Outbreak_Warning,DIS023,Medium,Geospatial cluster detected: 23 cases within 5km radius,2024-07-17,True
AL0103,CL0020,Disease_Spike,DIS026,Medium,Cases increased 371% in 24 hours,2025-12-10,True
AL0104,CL0018,Disease_Spike,DIS028,High,Cases increased 191% in 72 hours,2024-07-28,True
AL0105,CL0040,Low_Stock,DRG072,Critical,Current stock 43 < Buffer 77,2022-01-17,True
AL0106,CL0048,Disease_Spike,DIS021,Critical,Cases increased 206% in 24 hours,2022-08-28,True
AL0107,CL0028,Low_Stock,DRG086,High,Current stock 22 < Buffer 92,2022-07-19,True
AL0108,CL0006,Outbreak_Warning,DIS022,High,Geospatial cluster detected: 18 cases within 5km radius,2025-10-15,True
AL0109,CL0034,Disease_Spike,DIS033,Critical,Cases increased 451% in 72 hours,2021-01-05,True
AL0110,CL0013,Disease_Spike,DIS042,High,Cases increased 393% in 48 hours,2021-06-18,True
AL0111,CL0048,Low_Stock,DRG054,Medium,Current stock 29 < Buffer 150,2022-07-03,True
AL0112,CL0042,Low_Stock,DRG048,Medium,Current stock 12 < Buffer 133,2025-01-04,True
AL0113,CL0003,Outbreak_Warning,DIS004,Medium,Geospatial cluster detected: 37 cases within 5km radius,2024-06-07,True
AL0114,CL0050,Outbreak_Warning,DIS004,High,Geospatial cluster detected: 36 cases within 5km radius,2024-08-23,True
AL0115,CL0018,Low_Stock,DRG059,High,Current stock 43 < Buffer 133,2021-01-25,True
AL0116,CL0024,Low_Stock,DRG006,High,Current stock 37 < Buffer 125,2021-01-09,True
AL0117,CL0023,Disease_Spike,DIS045,Critical,Cases increased 410% in 24 hours,2021-05-11,True
AL0118,CL0007,Outbreak_Warning,DIS005,Critical,Geospatial cluster detected: 26 cases within 5km radius,2024-06-10,True
AL0119,CL0016,Disease_Spike,DIS033,Critical,Cases increased 387% in 48 hours,2024-08-16,True
AL0120,CL0048,Low_Stock,DRG043,Critical,Current stock 9 < Buffer 107,2021-07-27,True
AL0121,CL0012,Outbreak_Warning,DIS030,Medium,Geospatial cluster detected: 34 cases within 5km radius,2023-01-15,True
AL0122,CL0002,Disease_Spike,DIS023,Medium,Cases increased 365% in 24 hours,2021-02-05,True
AL0123,CL0050,Low_Stock,DRG001,Critical,Current stock 14 < Buffer 73,2021-01-21,True
AL0124,CL0041,Low_Stock,DRG092,Medium,Current stock 12 < Buffer 128,2024-02-22,True
AL0125,CL0046,Outbreak_Warning,DIS012,Medium,Geospatial cluster detected: 34 cases within 5km radius,2023-10-06,True
AL0126,CL0033,Disease_Spike,DIS050,Critical,Cases increased 224% in 24 hours,2023-12-17,False
AL0127,CL0043,Disease_Spike,DIS008,Medium,Cases increased 261% in 48 hours,2022-06-03,True
AL0128,CL0018,Disease_Spike,DIS022,Medium,Cases increased 425% in 24 hours,2021-12-19,True
AL0129,CL0024,Outbreak_Warning,DIS005,High,Geospatial cluster detected: 12 cases within 5km radius,2022-07-23,True
AL0130,CL0031,Low_Stock,DRG007,High,Current stock 28 < Buffer 104,2025-07-20,True
AL0131,CL0010,Disease_Spike,DIS021,High,Cases increased 325% in 24 hours,2023-08-10,True
AL0132,CL0023,Low_Stock,DRG007,Critical,Current stock 35 < Buffer 142,2025-07-07,True
AL0133,CL0046,Disease_Spike,DIS041,Medium,Cases increased 491% in 48 hours,2025-11-18,True
AL0134,CL0029,Disease_Spike,DIS042,High,Cases increased 290% in 72 hours,2024-07-18,True
AL0135,CL0006,Disease_Spike,DIS024,Critical,Cases increased 382% in 48 hours,2025-12-06,True
AL0136,CL0044,Low_Stock,DRG001,Critical,Current stock 15 < Buffer 94,2025-08-04,True
AL0137,CL0047,Disease_Spike,DIS024,Medium,Cases increased 455% in 48 hours,2022-06-06,True
AL0138,CL0048,Disease_Spike,DIS038,Critical,Cases increased 308% in 24 hours,2022-06-08,True
AL0139,CL0010,Low_Stock,DRG013,High,Current stock 28 < Buffer 139,2023-04-21,True
AL0140,CL0006,Low_Stock,DRG056,Medium,Current stock 11 < Buffer 106,2025-06-16,True
AL0141,CL0045,Outbreak_Warning,DIS033,Medium,Geospatial cluster detected: 27 cases within 5km radius,2025-08-23,True
AL0142,CL0026,Disease_Spike,DIS005,Critical,Cases increased 453% in 48 hours,2021-07-25,True
AL0143,CL0049,Low_Stock,DRG059,Critical,Current stock 29 < Buffer 124,2022-06-15,True
AL0144,CL0018,Low_Stock,DRG075,High,Current stock 9 < Buffer 99,2023-12-24,True
AL0145,CL0044,Low_Stock,DRG097,Medium,Current stock 21 < Buffer 138,2022-12-25,True
AL0146,CL0028,Outbreak_Warning,DIS003,Medium,Geospatial cluster detected: 40 cases within 5km radius,2024-01-20,False
